# 250717_14:35:46.192007
t	CH1	CH2
0.000000e+00	-4.766482e-03	-3.199950e-01
1.000000e-08	-3.562153e-03	-3.211579e-01
2.000000e-08	-5.245384e-03	-3.213603e-01
3.000000e-08	-5.326936e-03	-3.254680e-01
4.000000e-08	-5.309643e-03	-3.295210e-01
5.000000e-08	-3.690728e-03	-3.286843e-01
6.000000e-08	-4.138323e-03	-3.367815e-01
7.000000e-08	-4.717572e-03	-3.336871e-01
8.000000e-08	-4.908236e-03	-3.338322e-01
9.000000e-08	-4.632433e-03	-3.388998e-01
1.000000e-07	-5.551677e-03	-3.420599e-01
1.100000e-07	-5.320835e-03	-3.412130e-01
1.200000e-07	-5.857654e-03	-3.453605e-01
1.300000e-07	-4.665586e-03	-3.464132e-01
1.400000e-07	-3.039299e-03	-3.485234e-01
1.500000e-07	-3.786509e-03	-3.497234e-01
1.600000e-07	-4.924055e-03	-3.535843e-01
1.700000e-07	-5.138947e-03	-3.497315e-01
1.800000e-07	-5.338752e-03	-3.547394e-01
1.900000e-07	-6.163223e-03	-3.569420e-01
2.000000e-07	-5.339396e-03	-3.578472e-01
2.100000e-07	-4.608082e-03	-3.599499e-01
2.200000e-07	-4.692909e-03	-3.599972e-01
2.300000e-07	-4.486035e-03	-3.610527e-01
2.400000e-07	-4.861299e-03	-3.610527e-01
2.500000e-07	-5.028613e-03	-3.613026e-01
2.600000e-07	-5.944211e-03	-3.641084e-01
2.700000e-07	-6.588264e-03	-3.632655e-01
2.800000e-07	-4.504461e-03	-3.683685e-01
2.900000e-07	-3.738385e-03	-3.745262e-01
3.000000e-07	-6.594880e-03	-3.697391e-01
3.100000e-07	-6.668391e-03	-3.726347e-01
3.200000e-07	-5.062096e-03	-3.799320e-01
3.300000e-07	-4.338867e-03	-3.800553e-01
3.400000e-07	-4.093692e-03	-3.822124e-01
3.500000e-07	-7.030417e-03	-3.852732e-01
3.600000e-07	-5.790118e-03	-3.814080e-01
3.700000e-07	-5.070400e-03	-3.895685e-01
3.800000e-07	-3.821947e-03	-3.927740e-01
3.900000e-07	-6.766322e-03	-3.928236e-01
4.000000e-07	-7.021070e-03	-3.977367e-01
4.100000e-07	-5.270605e-03	-3.926843e-01
4.200000e-07	-3.468096e-03	-3.948444e-01
4.300000e-07	-6.055169e-03	-3.988400e-01
4.400000e-07	-8.085010e-03	-3.979368e-01
4.500000e-07	-6.517985e-03	-3.979447e-01
4.600000e-07	-5.478863e-03	-3.989472e-01
